,3Y realised21,3Y GARCH,10Y realised21,10Y GARCH
2022-07-14,6.648483536366267,6.920071834440064,5.528484680013401,6.452095483897871
2022-07-15,6.369424732938712,6.68803794108131,5.519295158588555,6.272989279512949
2022-07-18,6.385836261751839,6.613617730536902,5.724300747481655,6.196547844394264
2022-07-19,6.258034835313716,6.349492229660243,5.718578744508362,6.174704783957362
2022-07-20,6.833384436510417,6.133639965659057,6.429689320791846,6.0414927008345405
2022-07-21,6.247186033193925,6.67983318589859,6.221705477408828,6.467785995370325
2022-07-22,6.016334907091323,6.350409708806227,6.146106006864754,6.271666754610276
2022-07-25,5.800024630489562,6.64664021261415,6.108428992949394,6.316567557030702
2022-07-26,5.596112596300762,6.57596712435153,5.595921133587689,6.5609689485039
2022-07-27,5.595010532353155,6.31890513330378,5.662621805690868,6.38519135993198
2022-07-28,5.769798213852137,6.135918834863905,6.169514143099501,6.39492515316343
2022-07-29,6.201336261530355,6.002168662674321,6.2686103875162145,6.5528549595636125
2022-08-01,6.299387725349627,6.980513246134246,5.996844408281982,6.619602963460209
2022-08-02,6.424943950098288,7.121099194726714,6.269487713559708,6.524317340973706
2022-08-03,6.087567345867816,7.168679055022682,6.0538692861122465,6.793805383238045
2022-08-04,6.189961150735837,7.086132355625557,6.015978723366617,6.671218664609741
2022-08-05,6.189384152763186,6.936532345913054,6.037099587431968,6.515421425773838
2022-08-08,6.226234817287237,6.7410020166306746,6.090441378954073,6.385525871752475
2022-08-09,6.225229007070826,6.611888099956358,6.042342655121817,6.334630615877204
2022-08-10,6.18224416026597,6.281723666986058,6.104962852349819,6.1471101547564535
2022-08-11,6.086569915258767,6.001924652367811,6.071624086487803,6.072569567182045
2022-08-12,6.167784969384972,5.787448664572877,6.2169239063336335,5.889787244423303
2022-08-16,6.509761900407707,5.799379165068218,6.737326727164952,5.914071445174565
2022-08-17,6.488495313134718,6.5555244933744765,6.636633541329863,6.568257972596916
2022-08-18,6.546944034469516,6.259793809443526,6.683821974774315,6.4007733667148985
2022-08-19,6.271568498276272,6.116155983184823,6.453109254275716,6.298136658980463
2022-08-22,6.352629751678008,6.134711507371826,6.480325535620788,6.4000314404372505
2022-08-23,6.095857297417331,5.986315884034669,6.307659742612253,6.239741564627213
2022-08-24,5.987594317777853,5.808261969566928,6.165217332901134,6.0599135751340425
2022-08-25,7.493257286514635,5.685831566997151,6.748714163241964,6.2753861436205085
2022-08-26,7.383788548796155,8.820723601081276,6.472241092689964,7.099231011725431
2022-08-29,7.709385127727045,8.373547003536688,6.4769812192321154,6.92788685963341
2022-08-30,6.936387834491098,8.881931675003882,6.141416774653861,7.048044286786464
2022-08-31,6.83744243468411,8.437502353191094,6.122048365577981,6.828717530938761
2022-09-01,6.630948362826857,8.062947345344384,5.6158618894969905,6.626020838440125
2022-09-02,7.3175230001102785,8.42487812291426,6.161207364670997,6.894317310361217
2022-09-05,7.586670641893682,8.699834628612216,6.490542570320512,6.9864117483370975
2022-09-06,7.468374592079535,8.527507269781191,6.335500882216923,6.956724812844133
2022-09-07,7.465826908559531,8.353600858671461,6.306210091194687,6.83474025314201
2022-09-08,8.278241704268236,7.932491735096065,7.023328474245154,6.650399664924624
2022-09-13,8.341131589327455,8.709308117637384,7.055528058939038,7.117757108888349
2022-09-14,8.312248564045493,8.312116743577231,7.056034229481808,6.90400644895616
2022-09-15,9.019534356051883,8.11740000713957,7.6951004820321485,6.709209956317755
2022-09-16,8.455209721146586,9.683244867374668,6.961581648420068,7.722760879982365
2022-09-19,8.50448621107037,9.192327748775242,6.968760223140058,7.486163872276149
2022-09-20,8.530762261480806,8.731454656156298,6.983777119664033,7.25070394269671
2022-09-21,8.508813358036777,8.54102617630199,6.906615186423329,7.1508955703848835
2022-09-22,9.925287569301641,8.133234155125466,7.207390386990023,7.002719496839258
2022-09-23,9.98006107434315,11.40809951008151,7.461360784863896,7.447267959943037
2022-09-26,11.94456242097515,11.195252870434857,8.256428952496293,7.839347759557173
2022-09-27,12.953991846604854,15.24423911339624,8.645340060512643,9.192235783834077
2022-09-28,12.92984550417773,16.267399888528818,8.867124943402159,9.409914844791805
